CODGEO,SUPERF,P20_RP,MED20,TP6020,P20_EMPLT,ETOQ21
77145,12.87,243.661032928749,27570,s,58.9743157988387,3.0
77146,11.63,825.792359028423,29740,s,6121.23863712297,10.0
77147,29.43,273.621792808338,23840,s,60.2560569340502,3.0
77148,19.42,684.455776761989,23340,s,235.531647705059,8.0
77150,3.33,168.711163805906,25400,s,52.1923193781529,2.0
77151,7.89,121.991651667818,25360,s,43.0203457889769,2.0
77152,10.24,9228.81466758088,20150,"21,0",6348.38578693584,67.0
77153,8.97,4162.03661305225,25150,"7,0",2154.87416322518,32.0
77154,9.04,427.0,26560,s,132.341008397596,4.0
77155,5.92,1323.9191299767,26310,"8,0",284.589595796858,7.0
77156,7.83,375.030052529967,24040,s,304.127877982713,2.0
77157,8.14,124.0,24130,s,28.9989244380155,4.0
77158,10.94,89.9035532994924,23410,s,25.3269235143001,1.0
77159,12.07,1145.40546365049,22380,"10,0",599.91029668835,15.0
77161,13.02,320.885726951262,26680,s,113.327216492865,3.0
77162,20.05,419.327691735046,25020,s,95.1291411822281,4.0
77163,7.97,124.534424920419,24880,s,30.9872318346409,2.0
77164,20.91,216.686990064325,24700,s,51.5406452158034,2.0
77165,18.54,242.391877315854,27440,s,83.7765145064263,2.0
77167,16.58,129.407987232081,23790,s,38.4900402327345,2.0
77168,31.84,893.21356504216,22360,"13,0",387.783658515706,7.0
77169,5.46,2943.46539447339,25810,"9,0",4332.68644927302,28.0
77171,3.12,2600.60031545442,26850,"8,0",1103.14338075469,24.0
77172,17.83,363.621576051007,23960,s,168.480784910134,3.0
77173,13.18,309.0,25210,s,54.0161119295777,4.0
77174,8.76,237.0,23500,s,42.5622766290104,3.0
77175,19.12,1090.93300318188,28300,s,525.333391551514,4.0
77176,10.93,1127.66967086061,24370,"7,0",633.314881359044,8.0
77177,28.27,485.733074615069,28320,s,108.764119151671,2.0
77178,7.78,200.773904228572,25310,s,57.5555670187237,1.0
77179,9.33,242.0,28950,s,76.822229904655,3.0
77180,12.76,430.22545412359,33650,s,797.995641874245,7.0
77181,6.75,1612.95204784785,28250,s,3241.56022151281,8.0
77182,17.32,2057.7121165218,18730,"23,0",1902.18737299416,22.0
77183,10.06,4148.48563463106,20650,"17,0",2710.44645459347,40.0
77184,7.21,248.0,25670,s,43.1391515209363,2.0
77185,13.87,259.65210028412,31960,s,86.114208243733,4.0
77186,172.05,7993.46416322205,26350,"13,0",10005.1925828562,116.0
77187,11.84,224.839736778819,20980,s,133.7548601412,2.0
77188,7.89,432.939211869741,31180,s,124.190506791865,3.0
77190,14.36,107.940973473737,25290,s,40.0081699944735,1.0
77191,27.44,413.684315739742,26530,s,110.128929442804,2.0
77192,22.12,2332.36376039617,24130,"8,0",2101.69439395669,17.0
77193,5.8,85.0,28770,s,27.8131865207716,1.0
77194,13.32,155.161534566647,23450,s,60.1836866293276,5.0
77195,7.81,215.494948778865,28100,s,59.721627646304,2.0
77196,7.46,341.207140378123,27630,s,97.2932712649159,3.0
77197,6.43,59.0,24510,s,21.7464504076708,1.0
77198,10.72,99.5434782608696,24360,s,23.9731672809627,3.0
77199,5.48,518.601988846132,24440,s,91.080629195184,2.0
77200,6.35,48.3793103448276,27520,s,16.9100628675872,1.0
77201,14.95,272.574386393844,25440,s,101.412550328898,3.0
77202,13.16,311.0,25510,s,147.482665948976,1.0
77203,11.76,526.0,28870,s,71.2968175331287,3.0
77204,6.53,78.6238095238095,23270,s,39.4626473412978,3.0
77205,4.23,46.3691275167785,30100,s,7.98624600451773,0.0
77206,6.01,65.4536146468591,27160,s,17.3896304040672,1.0
77207,13.71,60.8,23930,s,33.5476308655341,1.0
77208,14.64,562.0,22450,s,201.227850018542,3.0
77209,2.72,470.0,32020,s,132.81780484814,4.0
77210,29.07,1106.9980728577,23400,"8,0",407.920501226851,9.0
77211,24.5,406.667453384983,24310,s,711.844557175541,3.0
